k,alpha,stable
1.3333333333333333,0.10525002852777332,True
1.3333333333333333,0.11659144011798317,True
1.3333333333333333,0.1291549665014884,True
1.3333333333333333,0.14307229891937578,True
1.3333333333333333,0.15848931924611134,True
1.3333333333333333,0.17556762912750015,True
1.3333333333333333,0.19448624389373625,True
1.3333333333333333,0.21544346900318845,True
1.3333333333333333,0.2386589786858581,True
1.3333333333333333,0.26437611857491,True
1.3333333333333333,0.29286445646252374,True
1.3333333333333333,0.324422607917163,True
1.3333333333333333,0.35938136638046275,True
1.3333333333333333,0.3981071705534973,True
1.3333333333333333,0.44100594541767385,True
1.3333333333333333,0.4885273571519389,True
1.3333333333333333,0.5411695265464638,True
1.3333333333333333,0.5994842503189411,True
1.3333333333333333,0.6640827850634842,True
1.3333333333333333,0.7356422544596414,True
1.3333333333333333,0.8149127469020745,True
1.3333333333333333,0.9027251779484579,True
1.3333333333333333,1.0,True
1.3333333333333333,1.1077568505097097,True
1.3333333333333333,1.2271252398511903,True
1.3333333333333333,1.3593563908785256,True
1.3333333333333333,1.5058363542798414,True
1.3333333333333333,1.6681005372000592,True
1.3333333333333333,1.8478497974222907,True
1.3333333333333333,2.046968271807522,True
1.3333333333333333,2.267543125870802,True
1.3333333333333333,2.5118864315095797,True
1.3333333333333333,2.782559402207126,True
1.3333333333333333,3.0823992397451434,True
1.3333333333333333,3.414548873833601,True
1.3333333333333333,3.782489906389386,True
1.3333333333333333,4.190079105786669,True
1.3333333333333333,4.641588833612782,True
1.3333333333333333,5.141751827683928,True
1.3333333333333333,5.695810810737687,True
1.3333333333333333,6.309573444801936,True
1.3333333333333333,6.989473207273487,True
1.3333333333333333,7.742636826811269,True
1.3333333333333333,8.576958985908945,True
1.3333333333333333,9.50118507318144,True
1.3333333333333333,10.525002852777327,True
1.3333333333333333,11.659144011798324,True
1.3333333333333333,12.91549665014884,True
1.3333333333333333,14.307229891937586,True
1.3333333333333333,15.848931924611142,True
1.3333333333333333,17.556762912750013,True
1.3333333333333333,19.448624389373634,True
1.3333333333333333,21.544346900318846,True
1.3333333333333333,23.865897868585808,True
1.3333333333333333,26.437611857491014,True
1.3333333333333333,29.286445646252375,True
1.3333333333333333,32.4422607917163,True
1.3333333333333333,35.938136638046295,True
1.3333333333333333,39.810717055349734,True
1.3333333333333333,44.100594541767364,True
1.3333333333333333,48.852735715193916,True
1.3333333333333333,54.116952654646376,True
1.3333333333333333,59.948425031894146,True
1.3333333333333333,66.40827850634845,True
1.3333333333333333,73.56422544596414,True
1.3333333333333333,81.49127469020749,True
1.3333333333333333,90.27251779484578,True
1.3333333333333333,100.0,True
1.5555555555555554,0.01,True
1.5555555555555554,0.011077568505097092,True
1.5555555555555554,0.012271252398511897,True
1.5555555555555554,0.013593563908785255,True
1.5555555555555554,0.015058363542798407,True
1.5555555555555554,0.016681005372000592,True
1.5555555555555554,0.018478497974222907,True
1.5555555555555554,0.02046968271807521,True
1.5555555555555554,0.02267543125870802,True
1.5555555555555554,0.025118864315095794,True
1.5555555555555554,0.027825594022071243,True
1.5555555555555554,0.030823992397451434,True
1.5555555555555554,0.034145488738336005,True
1.5555555555555554,0.037824899063893865,True
1.5555555555555554,0.04190079105786669,True
1.5555555555555554,0.046415888336127795,True
1.5555555555555554,0.051417518276839276,True
1.5555555555555554,0.056958108107376865,True
1.5555555555555554,0.06309573444801933,True
1.5555555555555554,0.06989473207273486,True
1.5555555555555554,0.0774263682681127,True
1.5555555555555554,0.08576958985908942,True
1.5555555555555554,0.0950118507318144,True
1.5555555555555554,0.10525002852777332,True
1.5555555555555554,0.11659144011798317,True
1.5555555555555554,0.1291549665014884,True
1.5555555555555554,0.14307229891937578,True
1.5555555555555554,0.15848931924611134,True
1.5555555555555554,0.17556762912750015,True
1.5555555555555554,0.19448624389373625,True
1.5555555555555554,0.21544346900318845,True
1.5555555555555554,0.2386589786858581,True
1.5555555555555554,0.26437611857491,True
1.5555555555555554,0.29286445646252374,True
1.5555555555555554,0.324422607917163,True
1.5555555555555554,0.35938136638046275,True
1.5555555555555554,0.3981071705534973,True
1.5555555555555554,0.44100594541767385,True
1.5555555555555554,0.4885273571519389,True
1.5555555555555554,0.5411695265464638,True
1.5555555555555554,0.5994842503189411,True
1.5555555555555554,0.6640827850634842,True
1.5555555555555554,0.7356422544596414,True
1.5555555555555554,0.8149127469020745,True
1.5555555555555554,0.9027251779484579,True
1.5555555555555554,1.0,True
1.5555555555555554,1.1077568505097097,True
1.5555555555555554,1.2271252398511903,True
1.5555555555555554,1.3593563908785256,True
1.5555555555555554,1.5058363542798414,True
1.5555555555555554,1.6681005372000592,True
1.5555555555555554,1.8478497974222907,True
1.5555555555555554,2.046968271807522,True
1.5555555555555554,2.267543125870802,True
1.5555555555555554,2.5118864315095797,True
1.5555555555555554,2.782559402207126,True
1.5555555555555554,3.0823992397451434,True
1.5555555555555554,3.414548873833601,True
1.5555555555555554,3.782489906389386,True
