k,class,class_code,x_mean,x_min,x_max,x_amplitude,x_rel_amp,y_mean,y_min,y_max,y_amplitude,y_rel_amp,z_mean,z_min,z_max,z_amplitude,z_rel_amp
7.4,stable_coexistence,0,30.00000000051753,29.99999999038722,30.000000085072838,9.468561756875715e-08,3.1561872522374578e-09,0.2980960481666648,0.29809604797040895,0.2980960483394054,3.6899644451082736e-10,1.2378441337287407e-09,0.2980960481666249,0.2980960479639926,0.2980960483393998,3.754072053219204e-10,1.2593498224172368e-09
7.6000000000000005,stable_coexistence,0,30.000000000669697,29.99999999121354,30.000000089250904,9.803736489288895e-08,3.267912163023348e-09,0.2906543511458699,0.29065435090063424,0.2906543513005762,3.999419684319605e-10,1.3760054403288163e-09,0.2906543511458199,0.2906543508940747,0.2906543513005709,4.064961700578351e-10,1.3985552545672938e-09
7.800000000000001,stable_coexistence,0,30.00000000081283,29.99999999194071,30.00000009293615,1.0099543956698653e-07,3.366514652141671e-09,0.2835758167774341,0.28357581648875785,0.28357581691668454,4.2792669407987205e-10,1.5090380376678275e-09,0.2835758167773751,0.28357581648209723,0.2835758169166795,4.3458225906789494e-10,1.5325081807277943e-09
8.0,stable_coexistence,0,30.00000000094724,29.999999992583344,30.000000096171153,1.0358780855312943e-07,3.4529269516619562e-09,0.27683445074352914,0.2768344504164381,0.2768344508694689,4.5303077955693993e-10,1.6364682153546153e-09,0.2768344507434623,0.27683445040971255,0.27683445086946545,4.597529024152891e-10,1.660750319118817e-09
8.200000000000001,stable_coexistence,0,30.00000000107335,29.999999993153256,30.000000098995294,1.0584203735675146e-07,3.528067911765487e-09,0.2704066854532003,0.2704066850922436,0.2704066855676268,4.753832327786256e-10,1.758030619627188e-09,0.27040668545312635,0.27040668508548393,0.2704066855676192,4.821352761474884e-10,1.7830005768517227e-09
8.4,stable_coexistence,0,30.000000001191523,29.999999993660982,30.00000010144478,1.0778379788689563e-07,3.5927932627538245e-09,0.2642711029235763,0.264271102532866,0.2642711030279965,4.951304921618771e-10,1.8735703097476397e-09,0.2642711029234962,0.2642711025260988,0.26427110302799217,5.0189336020523e-10,1.8991609549929534e-09
8.6,stable_coexistence,0,30.00000000130213,29.99999999411455,30.000000103552892,1.0943834283239084e-07,3.6479447609213583e-09,0.25840819483577304,0.2584081944190211,0.258408194931462,5.124409230283788e-10,1.983067616543856e-09,0.25840819483568755,0.25840819441226875,0.2584081949314587,5.191899687950752e-10,2.0091853864201456e-09
8.8,stable_coexistence,0,30.000000001405603,29.999999994521353,30.000000105350153,1.108288003592861e-07,3.6942933451364467e-09,0.25280015406792017,0.25280015362847297,0.2528001541559609,5.274879422145773e-10,2.0865807782413547e-09,0.25280015406782996,0.2528001536217546,0.2528001541559571,5.342024600452078e-10,2.1131413547393305e-09
9.0,stable_coexistence,0,30.000000001502364,29.99999999488714,30.000000106864427,1.1197728611023194e-07,3.732576203487475e-09,0.24743069298541376,0.24743069252628608,0.24743069306672835,5.404422742660842e-10,2.1842167911559035e-09,0.24743069298531947,0.2474306925196178,0.2474306930667229,5.471051112149183e-10,2.211144885114867e-09
9.200000000000001,stable_coexistence,0,30.00000000159269,29.999999995217344,30.000000108121174,1.1290383028494944e-07,3.7634610092985135e-09,0.24228488456121514,0.24228488408511945,0.24228488463659,5.514705636588957e-10,2.2761245079635175e-09,0.24228488456111733,0.2422848840785148,0.242284884636588,5.580731987642196e-10,2.3033760433513182e-09
