t,x,y
167,13.333333333333343,41.11111111111109
168,13.333333333333343,41.11111111111109
169,13.333333333333343,41.11111111111109
170,13.333333333333343,41.11111111111109
171,13.333333333333343,41.11111111111109
172,13.333333333333343,41.11111111111109
173,13.333333333333343,41.11111111111109
174,13.333333333333343,41.11111111111109
175,13.333333333333343,41.11111111111109
176,13.333333333333343,41.11111111111109
177,13.333333333333343,41.11111111111109
178,13.333333333333343,41.11111111111109
179,13.333333333333343,41.11111111111109
180,13.333333333333343,41.11111111111109
181,13.333333333333343,41.11111111111109
182,13.333333333333343,41.11111111111109
183,13.333333333333343,41.11111111111109
184,13.333333333333343,41.11111111111109
185,13.333333333333343,41.11111111111109
186,13.333333333333343,41.11111111111109
187,13.333333333333343,41.11111111111109
188,13.333333333333343,41.11111111111109
189,13.333333333333343,41.11111111111109
190,13.333333333333343,41.11111111111109
191,13.333333333333343,41.11111111111109
192,13.333333333333343,41.11111111111109
193,13.333333333333343,41.11111111111109
194,13.333333333333343,41.11111111111109
195,13.333333333333343,41.11111111111109
196,13.333333333333343,41.11111111111109
197,13.333333333333343,41.11111111111109
198,13.333333333333343,41.11111111111109
199,13.333333333333343,41.11111111111109
200,13.333333333333343,41.11111111111109
201,13.333333333333343,41.11111111111109
202,13.333333333333343,41.11111111111109
203,13.333333333333343,41.11111111111109
204,13.333333333333343,41.11111111111109
205,13.333333333333343,41.11111111111109
206,13.333333333333343,41.11111111111109
207,13.333333333333343,41.11111111111109
208,13.333333333333343,41.11111111111109
209,13.333333333333343,41.11111111111109
210,13.333333333333343,41.11111111111109
211,13.333333333333343,41.11111111111109
212,13.333333333333343,41.11111111111109
213,13.333333333333343,41.11111111111109
214,13.333333333333343,41.11111111111109
215,13.333333333333343,41.11111111111109
216,13.333333333333343,41.11111111111109
217,13.333333333333343,41.11111111111109
218,13.333333333333343,41.11111111111109
219,13.333333333333343,41.11111111111109
220,13.333333333333343,41.11111111111109
221,13.333333333333343,41.11111111111109
222,13.333333333333343,41.11111111111109
223,13.333333333333343,41.11111111111109
224,13.333333333333343,41.11111111111109
225,13.333333333333343,41.11111111111109
226,13.333333333333343,41.11111111111109
227,13.333333333333343,41.11111111111109
228,13.333333333333343,41.11111111111109
229,13.333333333333343,41.11111111111109
230,13.333333333333343,41.11111111111109
231,13.333333333333343,41.11111111111109
232,13.333333333333343,41.11111111111109
233,13.333333333333343,41.11111111111109
234,13.333333333333343,41.11111111111109
235,13.333333333333343,41.11111111111109
236,13.333333333333343,41.11111111111109
237,13.333333333333343,41.11111111111109
238,13.333333333333343,41.11111111111109
239,13.333333333333343,41.11111111111109
240,13.333333333333343,41.11111111111109
241,13.333333333333343,41.11111111111109
242,13.333333333333343,41.11111111111109
243,13.333333333333343,41.11111111111109
244,13.333333333333343,41.11111111111109
245,13.333333333333343,41.11111111111109
246,13.333333333333343,41.11111111111109
