k1,k2,x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z,class
0.0,1.0,25.382927262828296,2.3787347149208727e-12,74.99871539945204,74.99871539944967,2.9546913412653404,1.2048396016146683,4.357318228828637e-18,26.53976729423094,26.53976729423094,22.02763526252091,1.9087958980977584,0.1803171281890764,6.785945473080764,6.605628344891687,3.46062580680898,low_density_risk
0.0,1.1,25.79131165501716,1.9692637651755017e-11,74.99879890414753,74.99879890412784,2.9079094505662915,1.1517722852841776,8.878526443145016e-18,25.34602955163329,25.34602955163329,22.006111690174624,1.8614313746170144,0.1921517272284663,6.583887580734464,6.391735853505997,3.433774642816284,low_density_risk
0.0,1.2000000000000002,26.388938602873623,1.1273699677537564e-10,74.99886288866675,74.99886288855402,2.8420568184725767,1.108502824252524,3.081910927421462e-17,24.47053189287669,24.47053189287669,22.075299545903608,1.816378024866818,0.2010430986532608,6.392057832008257,6.191014733354996,3.4084395696240217,low_density_risk
0.0,1.3,27.19102842836727,4.795902383163235e-10,74.99890525332444,74.99890525284485,2.7582224574705254,1.0728705230592197,1.5201892816277224e-16,23.43559544745102,23.43559544745102,21.84382452842876,1.7745843486785158,0.2075916764696315,6.217664451387859,6.0100727749182274,3.386749567238309,low_density_risk
0.0,1.4,28.20963556927232,1.6534733371480414e-09,74.99894452921863,74.99894452756516,2.658628621535827,1.0429757405097884,6.513966249821799e-16,22.827781235477683,22.827781235477683,21.88716414851411,1.736272517134284,0.2122119897769334,6.044709959599247,5.832497969822314,3.359206525623919,low_density_risk
0.0,1.5,29.357106285437933,4.702083657307179e-09,74.99897623892335,74.99897623422126,2.5547128352844712,1.017666312710762,2.4551030928103945e-15,21.798872932310548,21.798872932310545,21.42045251967059,1.701375699336267,0.2153870934924683,5.889415904511486,5.674028811019017,3.334965236208092,low_density_risk
0.0,1.6,30.50414109267531,1.1692751231774073e-08,74.99900146169242,74.99900144999967,2.45864983453037,0.9959624749417264,8.215327435695532e-15,21.20183489655069,21.20183489655068,21.2877848613422,1.6696981961197266,0.217475208021681,5.741651507930452,5.5241762999087705,3.3084879128116085,low_density_risk
0.0,1.7000000000000002,31.571166508792345,2.60206648833463e-08,74.99902106981851,74.99902104379784,2.375554321786266,0.9771839997613287,2.474599020623261e-14,20.762468161716967,20.762468161716946,21.247245315894244,1.641001022007714,0.2188219264961901,5.602482535585961,5.3836606090897705,3.2807174016867746,low_density_risk
0.0,1.8,32.52613865488264,5.2357560625440675e-08,74.99903664867809,74.99903659632052,2.3058081806787043,0.9607865163358016,6.788708652382984e-14,20.22323186467385,20.223231864673775,21.048621645710696,1.615038499000888,0.2192445178618005,5.471903006792646,5.252658488930845,3.252342586369952,low_density_risk
0.0,1.9,33.35563560471692,9.811163344236865e-08,74.99904546495034,74.99904536683871,2.2484669833792834,0.9463616167877634,1.7135115866908618e-13,19.68930131763777,19.6893013176376,20.80526192984054,1.5915780494611182,0.2192503631648891,5.355423492774708,5.136173129609819,3.227094726108854,low_density_risk
0.0,2.0,34.04934486187634,1.7289046054486978e-07,74.99906006730895,74.99905989441848,2.2026579424260717,0.9335673454368733,4.024817521426234e-13,18.97230997944289,18.972309979442493,20.322379603523803,1.5704062431811072,0.2188975359234628,5.24584712207942,5.026949586155957,3.201050433911846,low_density_risk
0.1,0.0,11.052804048053796,2.6905315969284993e-19,74.98158022124206,74.98158022124206,6.783941875314273,0.8993811325541397,1.0958832824759805e-19,28.268977842563157,28.268977842563157,31.43158869949946,1.5661082917343625,0.064964903091247,5.971037996104736,5.906073093013489,3.771177972928761,low_density_risk
0.1,0.1,21.819898602366223,5.4090768198126006e-20,74.98178988662205,74.98178988662205,3.436394973828491,1.6331429600760772,5.66238003312954e-19,28.142269032462018,28.142269032462018,17.231969105223847,1.2881198984877111,0.0538151522624432,6.578296734066946,6.524481581804503,5.065119783848819,low_density_risk
0.1,0.2,13.26069056233011,2.195864226490226e-13,74.97831513598456,74.97831513598435,5.654178776252497,1.1821078634117617,2.2190095107250508e-18,26.16412487234161,26.16412487234161,22.13344964714592,1.906729509755758,0.1839000639254763,6.768969250822989,6.585069186897513,3.4535937862196158,low_density_risk
0.1,0.3,22.34460160707608,1.092127750336018e-12,74.98048594957494,74.98048594957385,3.3556421039892563,1.1447405605198275,2.326785204915333e-16,25.28023609294504,25.28023609294504,22.08381266882269,2.0638949320829503,0.1924835826608561,6.442529643389526,6.25004606072867,3.028277245885715,low_density_risk
0.1,0.4,24.931201279329542,6.909913567150363e-09,74.98212586410402,74.9821258571941,3.0075616901524422,0.9014972332374376,1.0781135901416374e-15,21.746131031353293,21.746131031353293,24.122238238308206,1.9514030255783,0.3291921923158768,6.15584170101446,5.826649508698583,2.985877049651936,low_density_risk
0.1,0.5,34.47860262784461,7.561608639329329e-09,74.9827532830138,74.9827532754522,2.174761955546732,1.2525501730570328,2.294505322604475e-13,21.310104827118423,21.310104827118195,17.013374222839104,1.9004755797061643,0.3063158993296677,5.920240557324763,5.613924657995096,2.953957797689839,low_density_risk
0.1,0.6000000000000001,33.45841464979385,1.0303235988157583e-06,74.98289959109408,74.98289856077048,2.241077449293618,1.0833617930166777,2.0453514621702483e-11,18.543758115255,18.54375811523455,17.116865515056947,2.1223542219294025,0.3931439606215835,5.585329087981375,5.192185127359791,2.446427214509556,low_density_risk
0.1,0.7000000000000001,33.19659322621506,2.438285617021473e-05,74.98242304921271,74.98239866635654,2.25873776129357,0.9740233324640852,5.4379291705456076e-11,16.08413972538759,16.084139725333213,16.51309490156363,2.0919767674915133,0.4506765689644741,5.2513087197053,4.800632150740825,2.294782726719744,low_density_risk
0.1,0.8,34.789245930377675,0.0002064752769662,74.98178940993091,74.98158293465394,2.1553092321894365,0.9000601174344419,6.36788185855401e-10,14.495708271981847,14.49570827134506,16.105266737790753,2.0180274758787258,0.4874149263994038,4.95183748631625,4.464422559916846,2.2122704538354485,low_density_risk
0.1,0.9,37.94803973634232,0.0009641827785231,74.98135081221146,74.98038662943294,1.975869824907537,0.8475365364427758,7.388389170074992e-09,13.209127399533472,13.209127392145083,15.58531912685437,1.9416887872373432,0.5098380271032211,4.695907301902427,4.186069274799205,2.155890945197781,low_density_risk
0.1,1.0,40.5209675639184,0.0030619001632116,74.98102426722413,74.97796236706091,1.850349754081949,0.8086907471547675,5.012430479590328e-08,12.137949658183985,12.137949608059678,15.009383563185128,1.8721238326210947,0.5232252501399182,4.47386837146236,3.9506431213224418,2.110246690139709,low_density_risk
0.1,1.1,42.536090866057705,0.0075647266795865,74.9804686637106,74.972903937031,1.7625715577181769,0.7789880819256021,2.285341180602923e-07,11.114874475092703,11.114874246558587,14.268349547876465,1.810816990973556,0.5303252677862184,4.279685044474458,3.749359776688239,2.0705348996479134,low_density_risk
0.1,1.2000000000000002,44.15193202896853,0.015640776913365,74.97982105600026,74.9641802790869,1.6978686284872075,0.7556505628660339,7.761519947775803e-07,10.435301632565336,10.435300856413342,13.809691104867955,1.757263331870891,0.5331997548116362,4.107165109566404,3.573965354754768,2.0338245782137103,low_density_risk
0.1,1.3,45.476096048076506,0.0284705196135465,74.97900368192089,74.95053316230734,1.648130329460764,0.7369018534593382,2.108495246011707e-06,9.860866241962473,9.860864133467224,13.381516259136346,1.7105142009854917,0.5332844815892988,3.953568564738756,3.4202840831494568,1.999564856682805,low_density_risk
0.1,1.4,46.57857037892234,0.0473511796089928,74.9780871013918,74.9307359217828,1.6086954861905491,0.7215630732644756,4.834536759955291e-06,9.31327176208267,9.313266927545907,12.907072538230343,1.66961961404527,0.5315634137739942,3.816892128863428,3.2853287150894337,1.9677109010042977,low_density_risk
0.1,1.5,47.50310400038854,0.0732064047852149,74.9770571527163,74.90385074793109,1.5768201325815856,0.7088257249192143,9.723012278927647e-06,8.869746570278762,8.869736847266482,12.513282934623833,1.633744032167432,0.5285289684163681,3.697291290913504,3.168762322497136,1.9395708630631123,low_density_risk
0.1,1.6,48.27257480183651,0.1068010824001204,74.9760242737214,74.86922319132128,1.5509680910675463,0.6981189654208436,1.764717640557819e-05,8.470956385252629,8.470938738076223,12.133947303605474,1.6021817069223905,0.5250108123214631,3.585194749340502,3.060183937019039,1.9100105336337885,low_density_risk
0.1,1.7000000000000002,48.89089713134305,0.1492151292871758,74.97489766652815,74.82568253724098,1.5304624567682577,0.6890292473106259,2.948175343512696e-05,8.115052791270008,8.115023309516573,11.7774729319239,1.5743428916376203,0.5202363589562895,3.483282442046513,2.963046083090224,1.8820843278977184,low_density_risk
0.1,1.8,49.346371123316445,0.2014198488169488,74.97367306662855,74.7722532178116,1.5152533310089698,0.6812503418125658,4.605459226356565e-05,7.79676119821906,7.7967151436267965,11.444713734559098,1.549734003716985,0.515260091451484,3.3887218545057336,2.87346176305425,1.8541644928487684,low_density_risk
0.1,1.9,49.62381674876252,0.263654075121996,74.97248227758105,74.70882820245906,1.5055034678347383,0.67455173930937,6.812201929979171e-05,7.486274091879816,7.486205969860516,11.098045611021718,1.5279388132735623,0.5100878420888044,3.301442342927164,2.79135450083836,1.8268758386051736,low_density_risk
0.1,2.0,49.72506625827064,0.3339020007300779,74.97122679742408,74.637324796694,1.501000006898498,0.6687593200701843,9.638953377011988e-05,7.248583109922841,7.248486720389071,10.838707593065806,1.5086021053434238,0.5048185517532425,3.222781492609565,2.717962940856323,1.801643343349169,low_density_risk
0.2,0.0,13.700405771998415,2.8706881809050578e-15,74.95460177343973,74.95460177343973,5.470976774033239,0.726961191532042,8.128880123555854e-18,25.434375434065,25.434375434065,34.987253419165434,1.1670778907185602,0.0718671284217159,5.831761673748692,5.759894545326976,4.935312879396354,low_density_risk
0.2,0.1,13.36980685137143,1.4481656710690744e-12,74.95359117103946,74.95359117103801,5.606183545078208,1.1178939040280285,3.999395268680738e-17,24.140404503455468,24.140404503455468,21.594539890100886,1.8124889163087528,0.1863503556795277,6.4783549487797085,6.292004593100181,3.471472038521908,low_density_risk
0.2,0.2,21.70100684424526,1.4954861394255346e-09,74.95549575822952,74.95549575673404,3.454010050994824,0.9205572662285753,7.101857513833693e-16,21.855177911175883,21.855177911175883,23.741247517050702,1.9291826964515624,0.3153547236471627,6.216462017939639,5.901107294292476,3.058863893577112,low_density_risk
