x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z,k_fear,alpha_mem,class,continuation
30.000000000003357,29.999999987900612,30.000000012098752,2.4198140380349287e-08,8.066046793448592e-10,0.8333333333333326,0.8333333333308123,0.833333333335854,5.041744799427761e-12,6.0500937593060584e-12,0.8333333333416252,0.833333303497858,0.8333333631672407,5.966938276813494e-08,7.160325932096353e-08,2.4000000000000004,10.0,stable_coexistence,True
30.000000000021082,29.999999987932213,30.000000012069382,2.4137168708193713e-08,8.045722902725316e-10,0.7770735353107753,0.7770735353084353,0.7770735353131243,4.689026944504349e-12,6.0342126342303375e-12,0.777073535359416,0.7770735074700389,0.7770735631553397,5.568530081490053e-08,7.166027188028353e-08,2.6,10.0,stable_coexistence,True
30.000000000001794,29.99999998795657,30.00000001204316,2.408658872354863e-08,8.028862907848795e-10,0.728001718001892,0.7280017179997005,0.7280017180040838,4.3832715235225805e-12,6.020963158640744e-12,0.7280017180058106,0.7280016918952041,0.7280017441080077,5.221280352518676e-08,7.172071470949235e-08,2.8000000000000003,10.0,stable_coexistence,True
30.0000000000018,29.999999987978175,30.00000001202243,2.4044254587352043e-08,8.0147515291166e-10,0.6848125640928409,0.6848125640907836,0.6848125640948992,4.115596752285455e-12,6.00981490129537e-12,0.6848125640965373,0.684812539514596,0.6848125886723578,4.9157761861096105e-08,7.178279786072179e-08,3.0,10.0,stable_coexistence,True
29.999999999983682,29.999999987995647,30.000000012005536,2.4009889187937006e-08,8.003296395983089e-10,0.6465007138542106,0.6465007138522673,0.6465007138561483,3.88100662718216e-12,6.0030972031553626e-12,0.6465007138226356,0.6465006906300396,0.6465007370806147,4.6450575164058705e-08,7.184922486679628e-08,3.2,10.0,stable_coexistence,True
30.000000000000007,29.99999998801022,30.000000011989293,2.397907294948709e-08,7.993024316495429e-10,0.6122788548417541,0.6122788548399193,0.6122788548435895,3.6701752748058425e-12,5.994287154908231e-12,0.6122788548417851,0.6122788328268546,0.6122788768558259,4.402897135769024e-08,7.190999821314353e-08,3.4000000000000004,10.0,stable_coexistence,True
29.999999999984176,29.999999988023127,30.000000011973867,2.3950740057898656e-08,7.983580019303497e-10,0.5815213720641915,0.5815213720624489,0.5815213720659305,3.4815483829220284e-12,5.986965484274118e-12,0.5815213720365405,0.5815213511373242,0.5815213929858497,4.1848525533794145e-08,7.196386503760791e-08,3.6,10.0,stable_coexistence,True
30.000000000015515,29.999999988035515,30.00000001196488,2.3929363379693314e-08,7.976454459893381e-10,0.5537246817587279,0.5537246817570737,0.5537246817603864,3.312683460876542e-12,5.9825461461260656e-12,0.5537246817845942,0.5537246618176789,0.553724701700446,3.98827670888835e-08,7.202634883508112e-08,3.8000000000000003,10.0,stable_coexistence,True
30.00000000002487,29.999999988045623,30.000000011957173,2.3911550073307808e-08,7.97051669109573e-10,0.5284787384521313,0.5284787384505545,0.5284787384537144,3.1599167726881205e-12,5.979269444097723e-12,0.5284787384917792,0.528478719405719,0.5284787575031152,3.809739623772401e-08,7.20887965074579e-08,4.0,10.0,stable_coexistence,True
29.999999999976627,29.9999999880518,30.00000001195023,2.3898429901691998e-08,7.96614330056994e-10,0.5054461968269373,0.5054461968254244,0.505446196828444,3.0196956046779633e-12,5.974316601111791e-12,0.5054461967912162,0.5054461785929169,0.5054462150639516,3.6471034747798114e-08,7.21561166732668e-08,4.2,10.0,stable_coexistence,True
30.000000000006445,29.999999988060253,30.000000011939665,2.387941222536938e-08,7.959804075121152e-10,0.4843469249338608,0.4843469249324156,0.4843469249353074,2.8917979122411452e-12,5.970509490960554e-12,0.4843469249433022,0.4843469074495456,0.48434694241802567,3.496848005601905e-08,7.219717573315918e-08,4.4,10.0,stable_coexistence,True
30.000000000002434,29.999999988063266,30.000000011936805,2.387353958965832e-08,7.957846529885196e-10,0.46494632678234804,0.4649463267809607,0.46494632678373615,2.775446539260429e-12,5.969391259550071e-12,0.4649463267857734,0.4649463099813776,0.4649463435833734,3.360199579693912e-08,7.227069848935306e-08,4.6000000000000005,10.0,stable_coexistence,True
30.000000000007613,29.999999988067586,30.000000011931746,2.3864160425546288e-08,7.954720141846479e-10,0.44704642126303656,0.44704642126170363,0.4470464212643713,2.667643883569326e-12,5.967263703904589e-12,0.4470464212733772,0.4470464050957798,0.4470464374294016,3.233362178001187e-08,7.232721310650406e-08,4.800000000000001,10.0,stable_coexistence,True
30.000000000012733,29.99999998806906,30.000000011929757,2.3860696529709458e-08,7.953565509899512e-10,0.43047894516489676,0.4304789451636141,0.43047894516618257,2.5684454563190684e-12,5.9664833441023425e-12,0.43047894518152247,0.4304789295817904,0.4304789607464601,3.116466967822973e-08,7.239534018328342e-08,5.0,10.0,stable_coexistence,True
29.9999999999844,29.999999988072368,30.000000011928144,2.385577602126432e-08,7.95192534042531e-10,0.41509996272314365,0.41509996272190397,0.41509996272437993,2.475963878367793e-12,5.964741268871674e-12,0.415099962703484,0.4150999476856406,0.415099977761318,3.007567739299333e-08,7.245405949218228e-08,5.2,10.0,stable_coexistence,True
30.000000000009198,29.999999988073956,30.000000011927415,2.385345965194574e-08,7.951153217312545e-10,0.4007856103711966,0.40078561037000265,0.4007856103723921,2.389421993598262e-12,5.961845764320938e-12,0.40078561038242644,0.40078559584034457,0.40078562490377684,2.9063432271936307e-08,7.251615706494976e-08,5.4,10.0,stable_coexistence,True
29.99999999997696,29.99999998807163,30.000000011924232,2.385260344794915e-08,7.950867815988892e-10,0.3874287066230825,0.387428706621925,0.3874287066242356,2.3105961588498758e-12,5.963926057476738e-12,0.387428706595917,0.3874286925612635,0.3874287206800605,2.8118797013032548e-08,7.257799056766205e-08,5.6000000000000005,10.0,stable_coexistence,True
30.000000000011404,29.99999998807273,30.000000011928588,2.385585773367893e-08,7.95195257788969e-10,0.3749360281732663,0.37493602817214955,0.37493602817438554,2.2359891715950653e-12,5.963655140006447e-12,0.37493602818629684,0.3749360145547416,0.37493604179333156,2.723858993913808e-08,7.264863307703047e-08,5.800000000000001,10.0,stable_coexistence,True
