x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z,k_fear,alpha_mem,class
30.000000000014893,29.999999987984726,30.000000012013782,2.4029056078234134e-08,8.009685359407135e-10,0.21946720379211115,0.2194672037914528,0.21946720379277118,1.3183898417423734e-12,6.007229412669795e-12,0.2194672038021985,0.2194671956756682,0.2194672119075687,1.623190051813772e-08,7.396048355677441e-08,10.200000000000001,10.0,stable_coexistence
29.999999999978563,29.999999987976395,30.000000012023733,2.4047338342825242e-08,8.015779447613875e-10,0.2154104160462223,0.2154104160455738,0.21541041604686859,1.2947976024690888e-12,6.010840265891521e-12,0.21541041603202007,0.21541040807201509,0.21541042402054056,1.5948525472486708e-08,7.403785650756076e-08,10.4,10.0,stable_coexistence
30.000000000001133,29.99999998797331,30.000000012028746,2.4055434977299228e-08,8.01847832576584e-10,0.21150103725637862,0.2115010372557428,0.21150103725701463,1.2718437414349637e-12,6.013416094443258e-12,0.21150103725715344,0.21150102942276822,0.21150104509142226,1.566865404090123e-08,7.408310731722995e-08,10.600000000000001,10.0,stable_coexistence
29.99999999998003,29.999999987965186,30.000000012035674,2.4070487825156306e-08,8.023495941723843e-10,0.2077311685999368,0.20773116859931065,0.2077311686005606,1.2499445922742325e-12,6.017125887716186e-12,0.20773116858715424,0.20773116089866453,0.2077311763017646,1.5403100073196896e-08,7.414920051662989e-08,10.8,10.0,stable_coexistence
30.000000000007365,29.99999998795702,30.00000001204192,2.40849011845512e-08,8.028300394848162e-10,0.20409346619885357,0.20409346619823926,0.2040934661994685,1.2292389328649733e-12,6.022921535671656e-12,0.204093466203481,0.20409345862538544,0.20409347377163287,1.514624742293691e-08,7.421230921602311e-08,11.0,10.0,stable_coexistence
30.00000000000899,29.99999998795136,30.000000012050087,2.409872834618909e-08,8.032909448727023e-10,0.2005810931839956,0.20058109318339168,0.20058109318460024,1.2085610290313298e-12,6.025298844675634e-12,0.20058109318955036,0.20058108573551836,0.20058110063338871,1.489787035402479e-08,7.427355249216803e-08,11.200000000000001,10.0,stable_coexistence
29.999999999999535,29.99999998794161,30.00000001205662,2.4115010432979034e-08,8.038336810992868e-10,0.19718767664777023,0.19718767664717585,0.19718767664836456,1.1887157924661551e-12,6.028347271333239e-12,0.1971876766475024,0.1971876693176226,0.19718768397686487,1.4659242264514205e-08,7.434157404595365e-08,11.4,10.0,stable_coexistence
29.999999999993882,29.999999987936132,30.00000001206262,2.4126489250875238e-08,8.042163083626451e-10,0.19390726891282006,0.19390726891223498,0.1939072689134044,1.169425667413293e-12,6.0308500757288846e-12,0.19390726890915885,0.19390726169965994,0.19390727612521041,1.4425550476371285e-08,7.439406762546345e-08,11.600000000000001,10.0,stable_coexistence
30.00000000001773,29.999999987928003,30.00000001207021,2.414220645619025e-08,8.047402152058393e-10,0.19073431261983573,0.19073431261926113,0.1907343126204122,1.1510792319313623e-12,6.034987706798273e-12,0.19073431263026777,0.19073430551834905,0.19073431972028898,1.4201939929625595e-08,7.44592817815698e-08,11.8,10.0,stable_coexistence
30.00000000002569,29.999999987922756,30.000000012076832,2.4154076072591124e-08,8.051358690856546e-10,0.18766360920192915,0.18766360920136382,0.18766360920249697,1.133149130083666e-12,6.038193205899289e-12,0.18766360921680483,0.18766360221021447,0.18766361619341285,1.3983198376976702e-08,7.451204010867988e-08,12.0,10.0,stable_coexistence
29.999999999988074,29.999999987914705,30.00000001208296,2.4168254952883217e-08,8.05608498429734e-10,0.18469029036814646,0.18469029036758786,0.18469029036870402,1.1161627178069011e-12,6.043429330128782e-12,0.18469029036134685,0.18469028348116082,0.18469029725377392,1.3772613105533793e-08,7.457139776277941e-08,12.200000000000001,10.0,stable_coexistence
30.000000000009774,29.999999987905753,30.000000012092464,2.4186711300444586e-08,8.062237100145301e-10,0.18180979226604838,0.1818097922654991,0.18180979226659844,1.09934283898383e-12,6.0466646228222845e-12,0.18180979227153365,0.18180978548006688,0.18180979905101682,1.3570949947139255e-08,7.464366895484014e-08,12.4,10.0,stable_coexistence
29.999999999996405,29.999999987899084,30.000000012100294,2.420120992496777e-08,8.067069974989955e-10,0.17901783203407481,0.17901783203353305,0.17901783203461624,1.083189093975534e-12,6.05073294465607e-12,0.17901783203208768,0.17901782534730382,0.17901783872050567,1.3373201851463179e-08,7.470318291527195e-08,12.600000000000001,10.0,stable_coexistence
29.999999999974257,29.999999987895812,30.000000012105932,2.4210120130874202e-08,8.07004004363139e-10,0.17631038648952396,0.1763103864889891,0.17631038649005634,1.0672296379965474e-12,6.053129706308636e-12,0.17631038647551334,0.1763103799008362,0.17631039307915927,1.3178323071683096e-08,7.474501834546547e-08,12.8,10.0,stable_coexistence
30.00000000001976,29.99999998789024,30.000000012112647,2.4222405414775494e-08,8.074135138252911e-10,0.17368367272850646,0.1736836727279813,0.17368367272903298,1.0516865156517952e-12,6.0551835363919504e-12,0.17368367273910026,0.17368366623377038,0.1736836792247714,1.2991001024920124e-08,7.479690416473297e-08,13.0,10.0,stable_coexistence
29.999999999985114,29.999999987877995,30.00000001212379,2.4245796481636717e-08,8.081932160549314e-10,0.17113413044058234,0.17113413044006306,0.1711341304411003,1.0372258607560525e-12,6.0608942125084496e-12,0.17113413043271347,0.1711341240335552,0.17113413684854736,1.2814992150778082e-08,7.488273740778903e-08,13.200000000000001,10.0,stable_coexistence
29.999999999997055,29.999999987868375,30.00000001213151,2.4263133724389263e-08,8.087711241463612e-10,0.16865840576368848,0.16865840576317695,0.1686584057641999,1.0229594948896192e-12,6.0652743054908755e-12,0.1686584057621577,0.16865839944322922,0.16865841208409138,1.2640862162571764e-08,7.494949395124115e-08,13.4,10.0,stable_coexistence
29.999999999978908,29.99999998786296,30.000000012137587,2.4274626753140183e-08,8.091542251052147e-10,0.16625333652507107,0.16625333652456575,0.16625333652557467,1.008915173628111e-12,6.068540906966385e-12,0.16625333651423616,0.16625333029090278,0.16625334275953002,1.2468627241801755e-08,7.49977564550055e-08,13.600000000000001,10.0,stable_coexistence
29.9999999999857,29.999999987853283,30.000000012146117,2.4292834410744035e-08,8.097611470251602e-10,0.1639159387312171,0.16391593873071894,0.1639159387317142,9.952594304252216e-13,6.071767261456722e-12,0.16391593872397497,0.16391593257874973,0.16391594488337777,1.2304628038695142e-08,7.506669659099084e-08,13.8,10.0,stable_coexistence
30.00000000000571,29.999999987846017,30.0000000121555,2.4309482427042894e-08,8.103160809012486e-10,0.1616433941851712,0.16164339418468016,0.16164339418566268,9.82519621217648e-13,6.078315950765303e-12,0.1616433941880334,0.1616433881134162,0.1616434002577156,1.2144299399441394e-08,7.5130192980477e-08,14.0,10.0,stable_coexistence
29.999999999975326,29.999999987838482,30.000000012159912,2.43214302031447e-08,8.107143401054631e-10,0.15943303912290063,0.15943303912241505,0.15943303912338444,9.693912339514554e-13,6.080240577977754e-12,0.15943303911074574,0.1594330331294983,0.15943304511551967,1.1986021369869704e-08,7.517903087495414e-08,14.200000000000001,10.0,stable_coexistence
30.000000000010743,29.99999998782853,30.000000012170975,2.4342444504554805e-08,8.114148168181759e-10,0.15728235377214,0.1572823537716619,0.15728235377261893,9.570400028025006e-13,6.0848530038081085e-12,0.15728235377737323,0.15728234785385406,0.1572823596902073,1.1836353230876284e-08,7.525544313480267e-08,14.4,10.0,stable_coexistence
29.999999999994277,29.999999987825202,30.000000012179534,2.4354331884524072e-08,8.11811062817597e-10,0.1551889527475019,0.1551889527470289,0.15518895274797412,9.452161275902426e-13,6.090743644117845e-12,0.15518895274474973,0.15518894690549656,0.15518895859177106,1.1686274503652783e-08,7.530352062365369e-08,14.600000000000001,10.0,stable_coexistence
29.999999999989512,29.999999987812956,30.000000012186057,2.4373100870889175e-08,8.124366956965628e-10,0.15315057620465314,0.15315057620418634,0.15315057620511932,9.329759187437503e-13,6.091886441817462e-12,0.1531505761996874,0.15315057043275124,0.15315058197609888,1.1543347638864887e-08,7.53725380943952e-08,14.8,10.0,stable_coexistence
30.00000000002704,29.999999987805975,30.00000001219621,2.439023560896203e-08,8.130078536313078e-10,0.15116508168449072,0.15116508168403078,0.1511650816849527,9.2192919964873e-13,6.098823811486218e-12,0.1511650816971329,0.1511650759833509,0.15116508738665077,1.14032998599356e-08,7.543607116031775e-08,15.0,10.0,stable_coexistence
29.999999999998412,29.99999998780019,30.000000012206026,2.4405835574725643e-08,8.135278524908708e-10,0.14923043658528531,0.14923043658482985,0.14923043658574045,9.106049247975534e-13,6.102005365849345e-12,0.1492304365845666,0.1492304309536737,0.1492304422198014,1.1266127697417971e-08,7.549483842029862e-08,15.200000000000001,10.0,stable_coexistence
29.999999999977838,29.999999987794585,30.000000012209217,2.4414632093794353e-08,8.138210697937192e-10,0.14734471120705125,0.14734471120660061,0.14734471120750006,8.994471834000706e-13,6.104373723533571e-12,0.1473447111969439,0.14734470564327737,0.1473447167725445,1.1129267118992203e-08,7.553217912274482e-08,15.4,10.0,stable_coexistence
30.000000000024603,29.999999987780203,30.000000012217583,2.4437380119479712e-08,8.145793373152953e-10,0.14550607231804796,0.14550607231760435,0.14550607231849333,8.889833313929785e-13,6.109596096056557e-12,0.14550607232912408,0.14550606681650616,0.1455060778185917,1.1002085548161844e-08,7.561255260330524e-08,15.600000000000001,10.0,stable_coexistence
29.999999999996295,29.999999987777784,30.00000001222185,2.4444066326623215e-08,8.148022108875141e-10,0.14371277719820647,0.14371277719776712,0.14371277719864528,8.781586569028832e-13,6.110512050613493e-12,0.1437127771965546,0.14371277176267291,0.14371278263354273,1.0870869815438056e-08,7.564302929373097e-08,15.8,10.0,stable_coexistence
29.999999999982986,29.99999998776619,30.00000001223442,2.4468228332352737e-08,8.1560761107886e-10,0.14196316811870477,0.1419631681182699,0.14196316811913834,8.684442054374131e-13,6.1173909890848035e-12,0.14196316811122756,0.1419631627436002,0.14196317349407808,1.0750477869025943e-08,7.57272327180474e-08,16.0,10.0,stable_coexistence
29.999999999972857,29.999999987755967,30.000000012243476,2.4487508909487588e-08,8.162502969836309e-10,0.1402556672209085,0.14025566722047825,0.1402556672213369,8.586464872450961e-13,6.1220092154035405e-12,0.14025566720912253,0.14025566190535557,0.14025567253621338,1.06308578051717e-08,7.579627986971246e-08,16.2,10.0,stable_coexistence
30.00000000002245,29.999999987749668,30.000000012249302,2.4499634321273334e-08,8.166544773751395e-10,0.1385887717613194,0.13858877176089568,0.13858877176174472,8.490430580820885e-13,6.126348096498052e-12,0.1385887717709558,0.13858876650562907,0.13858877701658254,1.0510953468712003e-08,7.584274926692837e-08,16.400000000000002,10.0,stable_coexistence
