fear_form,k_fear,x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z
exponential,2.0,29.999999992488146,29.9999993576325,30.000000138812126,7.811796258749837e-07,2.6039320869018708e-08,0.5656318835241482,0.5656318809460095,0.5656318857203004,4.774290962572536e-09,8.440632682899796e-09,0.5656318835114104,0.5656318612677379,0.5656319042529236,4.298518574419319e-08,7.599498365839567e-08
exponential,2.1666666666666665,29.999999987946733,29.99999936777015,30.000000114622154,7.468520024644931e-07,2.4895066758817837e-08,0.5244824535564357,0.5244824515456752,0.5244824567377394,5.192064223003001e-09,9.899404999703049e-09,0.5244824535859529,0.5244824327863932,0.5244824744693705,4.1682977292012424e-08,7.947449339237407e-08
exponential,2.333333333333333,29.999999984529225,29.999999373232313,30.000000099551137,7.26318823751626e-07,2.421062747087197e-08,0.4889228105028571,0.4889228088853049,0.48892281426006606,5.374761136156536e-09,1.0993066841405092e-08,0.4889228105283407,0.4889227914879725,0.4889228310258323,3.9537859763960626e-08,8.08672839811959e-08
exponential,2.5,29.999999981997046,29.999999379086166,30.00000009191778,7.128316141802316e-07,2.37610538202659e-08,0.45788502426871663,0.45788502292986877,0.4578850283338909,5.4040221186824056e-09,1.1802137725079151e-08,0.45788502428290107,0.4578850066469449,0.4578850446259642,3.797901926283487e-08,8.294444510875039e-08
exponential,2.6666666666666665,29.999999980149457,29.999999415086712,30.000000077709686,6.626229733797118e-07,2.2087432460604575e-08,0.4305571976774276,0.4305571965434846,0.43055720186904584,5.325561214242214e-09,1.2368998225921524e-08,0.43055719768370615,0.43055718116883207,0.4305572132708449,3.2102012825774295e-08,7.455922929264874e-08
exponential,2.833333333333333,29.99999997881459,29.999999445513836,30.00000007000908,6.244952430733974e-07,2.0816508117146098e-08,0.4063110079753511,0.40631100699549033,0.40631101217873755,5.183247220319487e-09,1.2756846648420545e-08,0.4063110079691988,0.4063109925727064,0.4063110228968389,3.03241324828285e-08,7.463281055149914e-08
exponential,3.0,29.99999997791294,29.9999994772246,30.00000006505063,5.878260331826368e-07,1.9594201120513185e-08,0.3846525564667483,0.3846525556082656,0.38465256060758213,4.999316516318686e-09,1.299696682696521e-08,0.384652556474249,0.38465254187007597,0.38465257074582915,2.8875753177448615e-08,7.506970301211729e-08
exponential,3.1666666666666665,29.99999997730154,29.999999503112004,30.00000006510863,5.619966252368158e-07,1.8733220855400412e-08,0.36518821822200387,0.36518821745989793,0.3651882222541486,4.7942506631315496e-09,1.3128163571268114e-08,0.36518821823212766,0.36518820440050037,0.3651882343773036,2.997680320637741e-08,8.208589902328371e-08
exponential,3.333333333333333,29.999999976897392,29.999999535777036,30.000000061381098,5.256040616075097e-07,1.7520135400408436e-08,0.34760040622888566,0.3476004055442337,0.3476004101234981,4.579264412107875e-09,1.3173932855185955e-08,0.34760040622426713,0.34760039296296735,0.34760042021244236,2.7249475009760715e-08,7.839310461594031e-08
exponential,3.5,29.999999976702657,29.999999564818253,30.000000058962907,4.941446540840388e-07,1.647148848225881e-08,0.3316300449617741,0.3316300443425268,0.3316300487033136,4.360786787227511e-09,1.314955280278364e-08,0.33163004496085413,0.33163003267932023,0.33163005902485837,2.6345538139960212e-08,7.944255516110013e-08
exponential,3.6666666666666665,29.999999976618188,29.999999588163433,30.000000052241194,4.6407776110868326e-07,1.5469258715678903e-08,0.31706368077858915,0.31706368021186304,0.31706368435891213,4.14704909301733e-09,1.3079546300669498e-08,0.31706368076411773,0.31706366873805236,0.3170636948862316,2.614817923296542e-08,8.246980281647621e-08
exponential,3.833333333333333,29.99999997670696,29.99999961366652,30.00000005379132,4.4012480060473536e-07,1.4670826698214963e-08,0.3037238576836556,0.3037238571633068,0.3037238611005469,3.937240089513239e-09,1.2963222973419224e-08,0.3037238576925127,0.30372384618555964,0.3037238700540005,2.386844083490658e-08,7.858599260579717e-08
exponential,4.0,29.999999976800183,29.999999630706522,30.000000047923574,4.1721705201780424e-07,1.3907235078014523e-08,0.2914618320039773,0.29146183152139765,0.29146183526030517,3.738907516925849e-09,1.282812055083082e-08,0.2914618319925248,0.29146182097229295,0.2914618448068832,2.383459024590806e-08,8.177602563905376e-08
quadratic,0.0,63.49708737241077,1.1961597273080777,96.35223458416817,95.1560748568601,1.4985896014216793,10.665563533295295,1.230453479337478,26.622152572306934,25.391699092969457,2.380718000853904,10.656160793036996,1.2303824478565029,26.621667505291132,25.39128505743463,2.3827798351188125
quadratic,0.16666666666666666,29.999978510959945,29.999495075559192,30.000204373886962,0.0007092983277701137,2.3643294528059775e-05,4.898488680025238,4.898462245108547,4.89854084984755,7.86047390031186e-05,1.604673280631069e-05,4.898488706491194,4.898462227920143,4.89854118373517,7.895581502737059e-05,1.6118402992891828e-05
quadratic,0.3333333333333333,29.999999478421525,29.99996027843045,30.0000117607248,5.1482294349369795e-05,1.7160765081478882e-06,3.3506679417993683,3.3506667187861967,3.3506688449842126,2.12619801587266e-06,6.345594528624699e-07,3.3506679423305985,3.3506666646923713,3.350668887665188,2.2229728164901985e-06,6.634416942382296e-07
quadratic,0.5,30.000000152059545,29.999997163687347,30.000011500297568,1.4336610220766488e-05,4.778870049366243e-07,2.60713939983296,2.6071391937937056,2.6071396571654497,4.6337174408606074e-07,1.777318635572656e-07,2.607139399739072,2.607139161931545,2.607139726964939,5.650333938511665e-07,2.167254247730288e-07
