k_fear,alpha_mem,x_mean,y_mean,z_mean,x_min,x_max,y_min,y_max,z_min,z_max,x_amp,y_amp,z_amp,relative_amp_x,relative_amp_y,class,class_code
10.8,0.01,58.33647511593491,0.15259268936282422,0.12857825594145952,19.164825159337685,99.98441212311249,3.4917775575867507e-10,0.8559582607875627,1.4398792147751687e-05,0.3499066611129051,80.81958696377481,0.8559582604383849,0.3498922623207573,1.3854040170091992,5.609431644510424,low_density_risk,4
11.0,0.01,59.13705073056713,0.1483007241661069,0.12416165686816082,19.167262824376326,99.98538886948525,1.8947905665101927e-10,0.8415750181777825,1.325160920025955e-05,0.3442920918898308,80.81812604510893,0.8415750179883034,0.34427884028063055,1.3666242236752901,5.674786975686021,low_density_risk,4
11.200000000000001,0.01,59.931248897188155,0.14423264856144216,0.11987672994563685,19.1694727584116,99.98628948358977,1.0388105225894673e-10,0.8277120983642638,1.2212633131848784e-05,0.33885821801864313,80.81681672517817,0.8277120982603828,0.3388460053855113,1.3484921174230455,5.738729105442754,low_density_risk,4
11.4,0.01,60.71993650209085,0.14034982199642507,0.11570909463938975,19.17169011940665,99.9871215625097,5.7520697641141005e-11,0.8142722969607841,1.127041643243276e-05,0.3335913394475125,80.81543144310305,0.8142722969032634,0.33358006903108006,1.3309538200903568,5.801733734426842,low_density_risk,4
11.600000000000001,0.01,61.50363168969439,0.1366168561406616,0.11164757638946153,19.173693660554665,99.98789103390008,3.2157632163865906e-11,0.801276941920095,1.0414494939059254e-05,0.3284891307621844,80.81419737334542,0.8012769418879374,0.32847871626724534,1.3139743971718245,5.865139665174788,low_density_risk,4
11.8,0.01,62.282544206540116,0.13300106210325427,0.10768395487863217,19.17540235413186,99.98860364677275,1.8146058401502444e-11,0.788657251212355,9.635812129529369e-06,0.32354138202474014,80.81320129264088,0.7886572511942089,0.3235317462126106,1.297525692345651,5.929706415246606,low_density_risk,4
12.0,0.01,63.05661292026538,0.12947186179747158,0.10381276760301343,19.17695550301228,99.98926410294868,1.0332167097415376e-11,0.7764809366766632,8.926151258373955e-06,0.31873979763939636,80.8123085999364,0.776480936666331,0.318730871488138,1.281583403506333,5.997294901613111,low_density_risk,4
12.200000000000001,0.01,63.8255374452001,0.12600028713485806,0.1000311657132532,19.17853396904587,99.98987711377814,5.934579011264673e-12,0.7646531250687966,8.278566301938117e-06,0.3140793430862489,80.81134314473226,0.764653125062862,0.314071064519947,1.2661286748131926,6.068661766130623,low_density_risk,4
12.4,0.01,64.5888026959237,0.12255867978192668,0.0963388084333354,19.17997500396585,99.99044679681028,3.437651729120176e-12,0.7531605510102154,7.686883909847565e-06,0.30955527236408104,80.81047179284442,0.7531605510067777,0.3095475854801712,1.2511529618111847,6.145305680028208,low_density_risk,4
12.600000000000001,0.01,65.34569663609251,0.119120710938524,0.09273777248767517,19.181265231602627,99.99097663059919,2.0076898947709255e-12,0.742050294536555,7.145295688304424e-06,0.30515737974813595,80.80971139899657,0.7420502945345473,0.30515023445244766,1.2366493213626797,6.229397798937553,low_density_risk,4
12.8,0.01,66.0953226996286,0.1156618535724812,0.08923244269044961,19.182699643785327,99.99147006074341,1.1819210164980178e-12,0.7312260172495164,6.649212770008099e-06,0.30088693372933273,80.80877041695808,0.7312260172483345,0.30088028451656273,1.2226095148092975,6.322101839598989,low_density_risk,4
13.0,0.01,66.83660949524325,0.11216043881327258,0.0858293394171787,19.183701343238592,99.99192992580338,7.011908731429289e-13,0.7207301348940139,6.19393481600076e-06,0.29673313825749087,80.80822858256478,0.7207301348933127,0.2967269443226749,1.2090414099822746,6.4258854772026694,low_density_risk,4
13.200000000000001,0.01,67.56832152076437,0.10859938355298138,0.0825368304398841,19.18474978924754,99.99235907981479,4.191247623237857e-13,0.7105504262693716,5.775777122875721e-06,0.29269239377902956,80.80760929056726,0.7105504262689525,0.2926866180019067,1.195939272603259,6.542858743905852,low_density_risk,4
13.4,0.01,68.28907562677202,0.1049685518518984,0.07936467356181615,19.18584786518907,99.99275994844572,2.5235799485930474e-13,0.700629160372957,5.391253548888259e-06,0.28875926735773005,80.80691208325665,0.7006291603727046,0.2887538761041812,1.1833065734393389,6.674657771353818,low_density_risk,4
13.600000000000001,0.01,68.99736863001834,0.1012674855311281,0.07632334985989217,19.186602614269578,99.993134610609,1.5302726264549596e-13,0.691003538870062,5.037018793660998e-06,0.2849343687023105,80.80653199633943,0.6910035388699091,0.2849293316835168,1.17115382225145,6.823547906210048,low_density_risk,4
13.8,0.01,69.69162138363265,0.09750793450728198,0.07342318201038012,19.187623699684604,99.99348528480327,9.343584903101545e-14,0.681623919080878,4.7106419401691715e-06,0.28120868363761914,80.80586158511866,0.6816239190807846,0.28120397299567895,1.1594774232659062,6.9904456751967174,low_density_risk,4
14.0,0.01,70.37024329709612,0.09371534417741628,0.07067328933184473,19.18831365793603,99.9938136258231,5.743408648291067e-14,0.6725027351094621,4.409282510760141e-06,0.2775789982775946,80.80549996788707,0.6725027351094047,0.2775745889950838,1.1482907573124794,7.176015208663021,low_density_risk,4
14.200000000000001,0.01,71.03171842823473,0.08992840261612307,0.06808050002643812,19.18906661365076,99.9941214375027,3.553522873701701e-14,0.6636162185690376,4.1309104033458955e-06,0.2740410904691827,80.80505482385195,0.6636162185690021,0.2740369595587793,1.137591158033018,7.379384035035049,low_density_risk,4
14.4,0.01,71.67470988904563,0.08619608705199724,0.06564839678773893,19.189637393324514,99.99441026745136,2.21261884104433e-14,0.6549563453812759,3.873484117691528e-06,0.27059391032625374,80.80477287412684,0.6549563453812538,0.27059003684213606,1.127381931495972,7.598446377021234,low_density_risk,4
14.600000000000001,0.01,72.29817402738897,0.08257237709671848,0.0633766837578779,19.190183200729482,99.99468145342655,1.38624508924503e-14,0.6465290728967077,3.6351213684834497e-06,0.2672316100805076,80.80449825269707,0.6465290728966938,0.26722797495913914,1.1176561419391382,7.829846924856881,low_density_risk,4
14.8,0.01,72.90147081750578,0.07910965275098593,0.06126101219735855,19.190745012667666,99.99493618000345,8.73755633316851e-15,0.6383272186071739,3.4142020842340613e-06,0.2639541006844101,80.80419116733579,0.6383272186071651,0.2639506864823259,1.108402755955525,8.068891676321266,low_density_risk,4
15.0,0.01,73.4844535886123,0.07585233816051448,0.059293299232844814,19.19132573756824,99.99517590368224,5.539745294576484e-15,0.6303197882294771,3.209301895560923e-06,0.26075511943823027,80.803850166114,0.6303197882294715,0.2607519101363347,1.0996046948716087,8.309826743736155,low_density_risk,4
15.200000000000001,0.01,74.04752113510708,0.07283228014338296,0.05746245700834192,19.191777634692386,99.99540145161443,3.5324437558773376e-15,0.6224956674571598,3.0190723532996197e-06,0.25763195401997846,80.80362381692204,0.6224956674571562,0.2576289349476252,1.091240092554708,8.54697486091495,low_density_risk,4
15.4,0.01,74.59161945429328,0.0700667069655353,0.05575536456585105,19.192116744683535,99.99561387747531,2.2650853458137806e-15,0.6148987636953649,2.8422352304559017e-06,0.25458407043440173,80.80349713279178,0.6148987636953627,0.2545812281991713,1.083278493266979,8.77590499563574,low_density_risk,4
15.600000000000001,0.01,75.11818879690915,0.06755875220730258,0.05415788959794326,19.192506107299696,99.99581411261133,1.4603542764008706e-15,0.6074570479865753,2.677736854497481e-06,0.2516083033795705,80.80330800531164,0.6074570479865739,0.25160562564271605,1.0756823254055259,8.991537411964233,low_density_risk,4
15.8,0.01,75.62906255849524,0.06529985627198973,0.05265579923479028,19.192879382985492,99.99600296978434,9.465397967297626e-16,0.6002189548060878,2.524548745675066e-06,0.24870098027770363,80.80312358679885,0.6002189548060868,0.24869845572895796,1.0684136607445145,9.191734699948459,low_density_risk,4
16.0,0.01,76.12633437130309,0.06327308792498465,0.051235463234077905,19.1932629787141,99.99618116280796,6.166961578389462e-16,0.5931372763348367,2.381822153748631e-06,0.2458592592246829,80.80291818409385,0.593137276334836,0.24585687740252915,1.0614318796696536,9.374242601035592,low_density_risk,4
16.2,0.01,76.61221508341588,0.06145652764650326,0.049884319871791316,19.19345726332176,99.99634961122472,4.038331841485584e-16,0.5862215690962846,2.2487410684578163e-06,0.243082653105387,80.80289234790295,0.5862215690962842,0.24308040436431852,1.0546998577175088,9.538800702484858,low_density_risk,4
16.400000000000002,0.01,77.08890050168301,0.05982615100135639,0.04859112464472681,19.193704746668754,99.99650870978886,2.657539434702372e-16,0.5794634818198704,2.1244867807311597e-06,0.24036904990368746,80.8028039631201,0.5794634818198702,0.24036692541690674,1.0481768897632022,9.685789109131335,low_density_risk,4
16.6,0.01,77.55846489565106,0.05835796834621952,0.04734602832185843,19.194006948921935,99.99665921161399,1.7573356930731376e-16,0.5728392210141798,2.008417331429571e-06,0.23771492698243898,80.80265226269205,0.5728392210141796,0.23771291856510757,1.041828927008867,9.815955511094701,low_density_risk,4
16.8,0.01,78.02278719216358,0.05702941427799655,0.04614053749116138,19.194115696133423,99.99680166284634,1.1675596827755045e-16,0.5664099793340205,1.899917409751373e-06,0.23511693677053955,80.80268596671291,0.5664099793340204,0.2351150368531298,1.0356293190052497,9.931891927962942,low_density_risk,4
17.0,0.01,78.48350948201569,0.05582011045053816,0.04496740502549215,19.194245795724935,99.99693653457987,7.793032266053348e-17,0.560077305855499,1.7984037551262265e-06,0.23257888310344038,80.80269073885493,0.5600773058554989,0.23257708469968524,1.0295499178380862,10.03361156624271,low_density_risk,4
17.2,0.01,78.94202264062265,0.0547121689158016,0.043820486876325324,19.19440596705591,99.99706430528737,5.2250700319299786e-17,0.5539228602523182,1.703357400837155e-06,0.23009346585220566,80.80265833823145,0.5539228602523182,0.2300917624948048,1.02356964814644,10.124308197224725,low_density_risk,4
17.400000000000002,0.01,79.39947181359715,0.053690194121155346,0.04269459004338693,19.194674082992385,99.99718548766911,3.518784999779519e-17,0.5478939251059647,1.6143143788554842e-06,0.22766008764777762,80.80251140467672,0.5478939251059647,0.22765847333339875,1.0176706413661343,10.204729821974611,low_density_risk,4
17.6,0.01,79.85677457659254,0.052741109543010825,0.0415853268505685,19.194681340485015,99.99730043938031,2.3799424872413152e-17,0.5419886889384571,1.530806158091824e-06,0.2252783057665983,80.80261909889529,0.5419886889384571,0.2252767749604402,1.011844261520913,10.276399067527851,low_density_risk,4
17.8,0.01,80.31464580848193,0.051853898419103955,0.04048898351162498,19.194757630126293,99.9974094903761,1.6164891904878215e-17,0.536201894973473,1.452448573392669e-06,0.22294659131480696,80.80265186024981,0.536201894973473,0.22294513886623357,1.0060761775994205,10.340628406167925,low_density_risk,4
18.0,0.01,80.77362493254297,0.05101931635747106,0.03940240622236154,19.194899467914855,99.9975131232779,1.1024846698492413e-17,0.5305416947263065,1.3788789983482308e-06,0.22066246192627156,80.80261365536305,0.5305416947263065,0.22066108304727322,1.0003588884718655,10.398839745296142,low_density_risk,4
18.2,0.01,81.23410269774016,0.050229609698485375,0.0383229051501833,19.194812447587587,99.99761156588612,7.549666559846898e-18,0.5250199301555839,1.3097750627574206e-06,0.2184226143273012,80.80279911829854,0.5250199301555839,0.21842130455223843,0.994690609422407,10.452399158517908,low_density_risk,4
18.400000000000002,0.01,81.69634587699557,0.04947825710493385,0.037248175147285574,19.194795071214614,99.99770513894575,5.190410164172209e-18,0.5195733100931583,1.2447739322380364e-06,0.2162316636643599,80.80291006773113,0.5195733100931583,0.21623041889042766,0.989063944051909,10.501043094156337,low_density_risk,4
18.6,0.01,82.16051911210128,0.04875974143115443,0.03617623132267846,19.194908104348922,99.9977941498819,3.582272882311476e-18,0.5142813939679093,1.1836272916858944e-06,0.21408052814884743,80.80288604553297,0.5142813939679093,0.21407934452155575,0.9834758460481864,10.547254330367888,low_density_risk,4
