k_fear,alpha_mem,stable_theory,A1,A2,A3,rh_margin
5.4,0.01,True,0.15398821584443206,0.002041060574001117,8.707012035450675e-05,0.00022722915586633765
5.6000000000000005,0.01,True,0.1541885694006538,0.002023028753941159,8.67959422374553e-05,0.00022513196718911932
5.800000000000001,0.01,True,0.1543759595774009,0.00200616363803391,8.653931037650522e-05,0.00022316412631426925
6.0,0.01,True,0.154551608439929,0.0019903552404063754,8.629858826252095e-05,0.0002213140155091259
6.2,0.01,True,0.15471658876173755,0.001975507011443607,8.607233724206701e-05,0.00021957136864338267
6.4,0.01,True,0.1548718461949255,0.001961533842456685,8.585928742990807e-05,0.00021792708012518484
6.6000000000000005,0.01,True,0.15501821759613035,0.0019483604163482693,8.565831361629885e-05,0.00021637304536086427
6.800000000000001,0.01,True,0.15515644626527214,0.0019359198361255242,8.5468415194536e-05,0.00021490202683314838
7.0,0.01,True,0.15528719468827815,0.00192415247805495,8.528869934599388e-05,0.00021350754112365797
7.2,0.01,True,0.15541105524883692,0.00191300502760468,8.511836688115039e-05,0.00021218376315522333
7.4,0.01,True,0.15552855927762732,0.0019024296650135219,8.495670025896502e-05,0.0002109254446676072
7.6000000000000005,0.01,True,0.15564018473291893,0.001892383374037309,8.480305340281209e-05,0.0002097278445178591
7.800000000000001,0.01,True,0.15574636274842604,0.0018828273526416582,8.465684300588893e-05,0.00020858666885129742
8.0,0.01,True,0.1558474832389166,0.0018737265084975124,8.451754107764726e-05,0.00020749801954973252
8.200000000000001,0.01,True,0.15594389971825465,0.0018650490253570838,8.438466852912195e-05,0.00020645834965079169
8.4,0.01,True,0.15603593345618316,0.0018567659889435005,8.425778963183988e-05,0.00020546442466265228
8.6,0.01,True,0.15612387707748582,0.0018488510630262798,8.413650721442538e-05,0.00020451328888406855
8.8,0.01,True,0.1562079976889901,0.0018412802079908963,8.402045848467602e-05,0.0002036022359899491
9.0,0.01,True,0.1562885396052152,0.0018340314355306424,8.390931138399999e-05,0.00020272878326514052
9.200000000000001,0.01,True,0.1563657267315664,0.0018270845941590176,8.380276139663455e-05,0.00020189064896908933
9.4,0.01,True,0.15643976465430098,0.0018204211811129313,8.370052874873412e-05,0.00020108573239627746
9.600000000000001,0.01,True,0.15651084247854902,0.001814024176930588,8.360235594280602e-05,0.0002003120962650568
9.8,0.01,True,0.15657913444916813,0.0018078778995748751,8.35080055815197e-05,0.00019956795112369434
10.0,0.01,True,0.15664480138380796,0.0018019678754572926,8.341725844199136e-05,0.00019885164150901865
10.200000000000001,0.01,True,0.15670799194311824,0.0017962807251193497,8.332991176751013e-05,0.00019816163363207154
10.4,0.01,True,0.15676884375930647,0.0017908040616623957,8.324577774856596e-05,0.0001974965043977176
10.600000000000001,0.01,True,0.15682748444115438,0.0017855264002961115,8.31646821691276e-05,0.00019685493159258123
10.8,0.01,True,0.15688403247100102,0.001780437077609914,8.308646319755388e-05,0.00019623568509877405
11.0,0.01,True,0.15693859800701707,0.0017755261793684514,8.301097030440892e-05,0.00019563761901043137
11.200000000000001,0.01,True,0.1569912836022402,0.0017707844757983966,8.293806329189814e-05,0.00019505966454661221
11.4,0.01,True,0.1570421848502835,0.0017662033634744903,8.28676114217101e-05,0.00019450082366824327
11.600000000000001,0.01,True,0.15709139096630773,0.0017617748130323073,8.279949262980688e-05,0.000193960163318845
11.8,0.01,True,0.15713898531070242,0.001757491322036779,8.273359281821025e-05,0.00019343681021901418
12.0,0.01,True,0.15718504586197107,0.0017533458724226063,8.266980521510932e-05,0.00019292994615353572
12.200000000000001,0.01,True,0.1572296456444776,0.0017493318919969947,8.260802979571736e-05,0.00019243880369755373
12.4,0.01,True,0.1572728531160093,0.0017454432195591664,8.254817275724872e-05,0.00019196266233481444
12.600000000000001,0.01,True,0.15731473251948863,0.0017416740732459977,8.24901460422039e-05,0.00019150084492661852
12.8,0.01,True,0.15735534420265718,0.001738019021760856,8.243386690484952e-05,0.0001910527144950955
13.0,0.01,True,0.15739474490907218,0.0017344729581834826,8.237925751639522e-05,0.00019061767128857783
13.200000000000001,0.01,True,0.15743298804339123,0.0017310310760947848,8.232624460489123e-05,0.0001901951501006777
13.4,0.01,True,0.15747012391354476,0.0017276888477809804,8.22747591263366e-05,0.00018978461781778375
13.600000000000001,0.01,True,0.1575061999521239,0.0017244420043088444,8.222473596388303e-05,0.00018938557117262708
13.8,0.01,True,0.15754126091903184,0.0017212865172871435,8.217611365237344e-05,0.00018899753468397206
14.0,0.01,True,0.1575753490872228,0.0017182185821499859,8.212883412575828e-05,0.00018862005876467874
14.200000000000001,0.01,True,0.15760850441315644,0.0017152346028159139,8.208284248520254e-05,0.00018825271798230805
14.4,0.01,True,0.15764076469341798,0.0017123311775923905,8.203808678593005e-05,0.0001878951094581153
14.600000000000001,0.01,True,0.15767216570878756,0.0017095050862091286,8.19945178410646e-05,0.0001875468513917163
14.8,0.01,True,0.15770274135693021,0.0017067532778762815,8.195208904090261e-05,0.00018720758170011342
15.0,0.01,True,0.1577325237747324,0.0017040728602740615,8.191075618622198e-05,0.00018687695676083266
15.200000000000001,0.01,True,0.15776154345122048,0.001701461089390132,8.1870477334369e-05,0.00018655465025001327
15.4,0.01,True,0.15778982933189442,0.0016989153601295204,8.18312126569956e-05,0.00018624035206717539
15.600000000000001,0.01,True,0.15781740891522902,0.0016964331976293632,8.17929243084302e-05,0.0001859337673392125
15.8,0.01,True,0.15784430834202684,0.001694012249217578,8.175557630376432e-05,0.00018563461549690548
16.0,0.01,True,0.15787055247821935,0.0016916502769602497,8.171913440583142e-05,0.000185342629417816
16.2,0.01,True,0.15789616499168624,0.0016893451507482234,8.168356602032653e-05,0.00018505755463012002
16.400000000000002,0.01,True,0.15792116842358,0.0016870948418777798,8.164884009839278e-05,0.00018477914857234116
16.6,0.01,True,0.15794558425461408,0.0016848974170847243,8.161492704606048e-05,0.00018450717990447648
